condorcet winner: LONDON BREED,AMY FARAH WEISS,ANGELA ALIOTO,ELLEN LEE ZHOU,JANE KIM,LONDON BREED,MARK LENO,MICHELLE BRAVO,RICHIE GREENBERG,writeIns
AMY FARAH WEISS,,31504.00,33636.00,11253.00,28375.00,11515.00,34483.00,33705.00,35072.00
ANGELA ALIOTO,75905.00,,72128.00,56714.00,42799.00,50494.00,76211.00,73127.00,76910.00
ELLEN LEE ZHOU,26565.00,23216.00,,21233.00,18607.00,22024.00,26748.00,25765.00,27504.00
JANE KIM,144625.00,136736.00,143377.00,,100936.00,91658.00,145760.00,144910.00,146193.00
LONDON BREED,156436.00,146543.00,152404.00,122558.00,,115977.00,156913.00,154606.00,157323.00
MARK LENO,162984.00,153492.00,162209.00,104130.00,113431.00,,164949.00,163168.00,165463.00
MICHELLE BRAVO,8564.00,6745.00,8056.00,7145.00,5561.00,6544.00,,8209.00,9253.00
RICHIE GREENBERG,20333.00,15842.00,18292.00,19069.00,14376.00,16848.00,20526.00,,20967.00
writeIns,17.00,17.00,17.00,13.00,8.00,9.00,17.00,16.00,
