condorcet winner: LIBBY SCHAAF,CLINTON KILLIAN,DANIEL SWAFFORD,JASON GILLEN,JILL BROADHURST,LIBBY SCHAAF,MELANIE SHELBY,RALPH KANZ,writeIns
CLINTON KILLIAN,,4321.00,4620.00,3370.00,3030.00,3600.00,4586.00,4851.00
DANIEL SWAFFORD,6828.00,,7093.00,5675.00,3991.00,6634.00,6811.00,7360.00
JASON GILLEN,2168.00,2099.00,,1937.00,1730.00,2070.00,2448.00,2646.00
JILL BROADHURST,10975.00,9963.00,11394.00,,6609.00,10382.00,11234.00,11664.00
LIBBY SCHAAF,13654.00,12550.00,13949.00,11266.00,,13003.00,13483.00,14197.00
MELANIE SHELBY,6252.00,6150.00,6713.00,5036.00,4421.00,,6632.00,6972.00
RALPH KANZ,3199.00,2925.00,3261.00,2340.00,2056.00,3080.00,,3450.00
writeIns,223.00,213.00,240.00,191.00,164.00,213.00,237.00,
