condorcet winner: JESSE ARREGUÍN,BEN GOULD,BERNT RAINER WAHL,GUY ''MIKE'' LEE,JESSE ARREGUÍN,KRISS WORTHINGTON,LAURIE CAPITELLI,NAOMI D. PETE,ZACHARY RUNNINGWOLF
BEN GOULD,,9413.00,9862.00,5377.00,8326.00,6359.00,10215.00,9734.00
BERNT RAINER WAHL,5591.00,,6089.00,4192.00,5074.00,4423.00,6292.00,5764.00
GUY ''MIKE'' LEE,6483.00,6765.00,,2783.00,4518.00,5691.00,6984.00,6203.00
JESSE ARREGUÍN,41582.00,42096.00,42425.00,,38358.00,33473.00,42727.00,42130.00
KRISS WORTHINGTON,25622.00,25720.00,26267.00,8745.00,,18481.00,26506.00,25921.00
LAURIE CAPITELLI,32684.00,33069.00,33340.00,21443.00,28709.00,,33525.00,33019.00
NAOMI D. PETE,1858.00,1813.00,1871.00,1310.00,1648.00,1464.00,,1781.00
ZACHARY RUNNINGWOLF,7388.00,7522.00,7428.00,3790.00,6219.00,6005.00,7890.00,
