"condorcet winner: Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",writeIns
"Fantini, Alfred B.",,4483.00,4992.00,5262.00,5158.00,5291.00,5462.00,4926.00,6902.00
"Grassi, Joseph G.",4274.00,,5022.00,5357.00,5311.00,5212.00,5448.00,4925.00,6978.00
"Harding, Richard, Jr.",5202.00,5016.00,,5305.00,5059.00,5096.00,5185.00,4869.00,7259.00
"Lummis, Ben",5257.00,5273.00,4835.00,,4857.00,4778.00,4961.00,4363.00,7088.00
"McGovern, Marc C.",5313.00,5234.00,4914.00,4788.00,,4853.00,5092.00,4626.00,7217.00
"Nolan, Patricia M.",5772.00,5807.00,5573.00,5320.00,5219.00,,5539.00,5016.00,7262.00
"Schuster, Luc",5105.00,5112.00,4698.00,4495.00,4458.00,3690.00,,4432.00,6373.00
"Walser, Nancy",6395.00,6294.00,5839.00,5502.00,5506.00,5309.00,5625.00,,7933.00
writeIns,115.00,121.00,108.00,115.00,119.00,112.00,106.00,116.00,
