condorcet winner: Robert Lilligren,Andy Exley,Bruce Lundeen,Laura Jean,M. Cali,Michael Tupper,Robert Lilligren,writeIns
Andy Exley,,543.00,471.00,535.00,489.00,383.00,611.00
Bruce Lundeen,291.00,,281.00,318.00,285.00,193.00,370.00
Laura Jean,608.00,704.00,,698.00,592.00,375.00,733.00
M. Cali,331.00,389.00,355.00,,364.00,288.00,429.00
Michael Tupper,559.00,611.00,523.00,598.00,,423.00,638.00
Robert Lilligren,1216.00,1278.00,1195.00,1282.00,1214.00,,1311.00
writeIns,22.00,21.00,18.00,21.00,13.00,16.00,
