condorcet winner: JUMOKE HINTON HODGE,BENJAMIN LANG,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON,LUCKY NARAIN,MISTY CROSS
BENJAMIN LANG,,8259.00,7867.00,13165.00,14341.00
JUMOKE HINTON HODGE,11591.00,,10796.00,14588.00,15489.00
KHARYSHI ''MS. K'' WIGINTON,10920.00,9810.00,,14320.00,15362.00
LUCKY NARAIN,3065.00,3255.00,3326.00,,5044.00
MISTY CROSS,53.00,48.00,41.00,53.00,
