condorcet winner: JUMOKE HINTON HODGE,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES,writeIns
BENJAMIN LANG,,7210.00,8219.00,13761.00
JUMOKE HINTON HODGE,11561.00,,11725.00,16291.00
RICHARD FUENTES,8788.00,7486.00,,14400.00
writeIns,348.00,373.00,425.00,
