condorcet winner: GARY D. YEE,BENJAMIN VISNICK,GARY D. YEE,writeIns
BENJAMIN VISNICK,,5826.00,12675.00
GARY D. YEE,13065.00,,16498.00
writeIns,370.00,293.00,
