condorcet winner: Gerardo Sandoval,Anita Grier,Fil M. Silverio,Gerardo Sandoval,Jose Medina,Myrna Viray Lim,Rebecca Reynolds Silverberg,Rolando A. Bonialla,Tom Yuen
Anita Grier,,8151.00,6246.00,6723.00,6482.00,7143.00,7672.00,7459.00
Fil M. Silverio,1281.00,,1163.00,1222.00,1056.00,1361.00,1326.00,1302.00
Gerardo Sandoval,11264.00,12221.00,,10706.00,10679.00,11611.00,11237.00,11893.00
Jose Medina,8078.00,9334.00,5850.00,,7953.00,8449.00,8095.00,9036.00
Myrna Viray Lim,8107.00,9326.00,7628.00,8274.00,,8500.00,8576.00,8494.00
Rebecca Reynolds Silverberg,4989.00,6090.00,4540.00,5012.00,5037.00,,5508.00,5914.00
Rolando A. Bonialla,5927.00,6395.00,4096.00,4996.00,5511.00,5833.00,,6348.00
Tom Yuen,3584.00,4384.00,3561.00,3993.00,2914.00,4177.00,4174.00,
