condorcet winner: JOHN ERWIN,ANNIE YOUNG,CASPER HILL,HASHIM YONIS,ISHMAEL ISRAEL,JASON STONE,JOHN ERWIN,MARY LYNN MCPHERSON,MEG FORNEY,STEVE BARLAND,TOM NORDYKE,writeIns
ANNIE YOUNG,,87.68,80.76,77.39,64.99,42.99,74.85,59.44,77.32,60.42,97.81
CASPER HILL,12.32,,37.97,31.26,18.25,11.07,27.43,16.63,32.74,18.45,87.41
HASHIM YONIS,19.24,62.03,,42.24,28.05,18.53,38.58,25.04,45.10,27.45,91.64
ISHMAEL ISRAEL,22.61,68.74,57.76,,32.16,20.45,45.12,30.12,51.20,32.46,93.65
JASON STONE,35.01,81.75,71.95,67.84,,29.47,61.56,47.01,69.05,49.22,96.59
JOHN ERWIN,57.01,88.93,81.47,79.55,70.53,,73.73,61.73,79.39,67.77,98.04
MARY LYNN MCPHERSON,25.15,72.57,61.42,54.88,38.44,26.27,,30.09,56.71,37.11,94.54
MEG FORNEY,40.56,83.37,74.96,69.88,52.99,38.27,69.91,,71.05,51.72,97.00
STEVE BARLAND,22.68,67.26,54.90,48.80,30.95,20.61,43.29,28.95,,30.04,93.15
TOM NORDYKE,39.58,81.55,72.55,67.54,50.78,32.23,62.89,48.28,69.96,,96.76
writeIns,2.19,12.59,8.36,6.35,3.41,1.96,5.46,3.00,6.85,3.24,
