condorcet winner: ABEL GUILLEN,ABEL GUILLEN,ANDREW PARK,DANA KING,KEN MAXEY,KEVIN BLACKBURN
ABEL GUILLEN,,7041.00,6547.00,8641.00,7739.00
ANDREW PARK,4407.00,,4986.00,7054.00,6115.00
DANA KING,5800.00,6693.00,,8012.00,7209.00
KEN MAXEY,1123.00,1057.00,982.00,,1318.00
KEVIN BLACKBURN,3179.00,3923.00,3386.00,5284.00,
