condorcet winner: Andrea Jenkins,Andrea Jenkins,April Kane,David Holsinger,Terry White,writeIns
Andrea Jenkins,,6409.00,6941.00,6400.00,7094.00
April Kane,1038.00,,4107.00,2976.00,4308.00
David Holsinger,605.00,774.00,,770.00,1119.00
Terry White,1214.00,2917.00,4129.00,,4332.00
writeIns,46.00,91.00,114.00,102.00,
