condorcet winner: DESLEY BROOKS,DESLEY BROOKS,JOSE DORADO,NANCY SIDEBOTHAM,writeIns
DESLEY BROOKS,,70.86,74.38,98.03
JOSE DORADO,29.14,,49.06,96.77
NANCY SIDEBOTHAM,25.62,50.94,,97.20
writeIns,1.97,3.23,2.80,
