"condorcet winner: DEM Golden, Jared F.","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
"Bond, Tiffany L.",,25.29,65.30,37.57
"DEM Golden, Jared F.",74.71,,77.67,50.62
"Hoar, William R.S.",34.70,22.33,,33.75
"REP Poliquin, Bruce",62.43,49.38,66.25,
