condorcet winner: DESLEY BROOKS,DESLEY BROOKS,JOSE DORADO,NANCY SIDEBOTHAM,writeIns
DESLEY BROOKS,,8840.00,9088.00,11061.00
JOSE DORADO,3635.00,,4890.00,8832.00
NANCY SIDEBOTHAM,3131.00,5078.00,,8668.00
writeIns,222.00,295.00,250.00,
