condorcet winner: Chris Daly,Chris Daly,Davy Jones,George Dias,"Manuel Jimenez, Jr.",Matt Drake,Rob Black,Robert Jordan,Viliam Dugovic
Chris Daly,,10693.00,10782.00,10691.00,10554.00,9225.00,10826.00,10739.00
Davy Jones,1388.00,,2918.00,2800.00,2664.00,1733.00,2976.00,2703.00
George Dias,1196.00,1690.00,,1529.00,1412.00,935.00,1799.00,1731.00
"Manuel Jimenez, Jr.",1644.00,2507.00,2565.00,,2287.00,1288.00,2694.00,2623.00
Matt Drake,2860.00,3700.00,3804.00,3762.00,,1645.00,3925.00,3679.00
Rob Black,7716.00,9711.00,9874.00,9743.00,9564.00,,9915.00,9860.00
Robert Jordan,580.00,916.00,975.00,959.00,850.00,626.00,,903.00
Viliam Dugovic,1099.00,2006.00,2180.00,2137.00,1965.00,1452.00,2225.00,
