condorcet winner: MALIA COHEN,ED DONALDSON,MALIA COHEN,MARLENE TRAN,SHAWN M. RICHARD,TONY KELLY
ED DONALDSON,,2407.00,3228.00,3058.00,2301.00
MALIA COHEN,10167.00,,9093.00,10010.00,8870.00
MARLENE TRAN,5797.00,3642.00,,5600.00,4830.00
SHAWN M. RICHARD,3579.00,2418.00,3530.00,,3073.00
TONY KELLY,7333.00,4971.00,6316.00,7221.00,
