condorcet winner: CHESA BOUDIN,CHESA BOUDIN,LEIF DAUTCH,NANCY TUNG,SUZY LOFTUS,writeIns
CHESA BOUDIN,,59.37,56.99,50.83,99.99
LEIF DAUTCH,40.63,,48.90,39.90,99.99
NANCY TUNG,43.01,51.10,,41.40,99.99
SUZY LOFTUS,49.17,60.10,58.60,,99.99
writeIns,0.01,0.01,0.01,0.01,
