condorcet winner: MALIA COHEN,ASHLEY H RHODES,CHRIS JACKSON,DEWITT M. LACY,DIANE WESLEY SMITH,ED DONALDSON,ELLSWORTH ''ELL'' JENNISON,ERIC SMITH,GEOFFREA MORRIS,JACKIE NORMAN,JAMES M. CALLOWAY,KRISTINE ENEA,LYNETTE SWEET,M.J. MARIE FRANKLIN,MALIA COHEN,MARLENE TRAN,NYESE JOSHUA,"RODNEY HAMPTON, JR.",STEPHEN WEBER,STEVE MOSS,TERESA DUQUE,TONY KELLY,writeIns
ASHLEY H RHODES,,13.69,14.03,34.66,46.27,69.93,25.49,41.83,49.03,33.73,30.06,11.71,63.07,10.98,14.40,58.18,42.28,42.31,12.99,17.55,12.89,92.42
CHRIS JACKSON,86.31,,46.06,77.10,86.46,93.37,68.52,81.99,85.81,76.78,72.65,45.34,91.32,43.27,50.38,89.38,82.92,82.40,47.48,56.29,43.09,98.75
DEWITT M. LACY,85.97,53.94,,76.81,84.48,93.34,72.79,82.34,85.56,76.53,72.73,45.75,91.47,45.89,50.90,89.68,82.57,81.92,47.93,56.34,41.63,98.77
DIANE WESLEY SMITH,65.34,22.90,23.19,,61.33,81.40,38.76,57.12,65.58,49.33,44.36,18.88,76.26,17.40,24.30,72.54,58.57,57.70,21.61,28.42,21.70,95.91
ED DONALDSON,53.73,13.54,15.52,38.67,,72.54,28.32,45.41,52.85,37.77,32.93,12.92,66.40,13.00,16.50,61.91,47.84,46.40,14.35,20.13,12.73,93.43
ELLSWORTH ''ELL'' JENNISON,30.07,6.63,6.66,18.60,27.46,,13.05,23.79,29.72,18.08,15.42,5.87,42.11,5.16,6.74,37.52,23.93,24.12,5.72,8.11,5.79,84.38
ERIC SMITH,74.51,31.48,27.21,61.24,71.68,86.95,,68.29,73.61,60.69,55.13,28.17,83.00,22.05,33.47,80.00,69.22,68.39,29.11,38.41,29.00,97.24
GEOFFREA MORRIS,58.17,18.01,17.66,42.88,54.59,76.21,31.71,,57.24,41.70,36.93,15.11,70.15,14.05,18.55,65.82,51.60,50.55,17.00,22.62,16.87,94.49
JACKIE NORMAN,50.97,14.19,14.44,34.42,47.15,70.28,26.39,42.76,,35.00,30.33,11.07,63.86,10.59,15.00,59.49,44.44,43.35,13.66,17.99,13.44,92.75
JAMES M. CALLOWAY,66.27,23.22,23.47,50.67,62.23,81.92,39.31,58.30,65.00,,44.96,19.82,76.81,19.10,23.45,73.48,59.40,59.08,21.64,28.40,21.87,95.84
KRISTINE ENEA,69.94,27.35,27.27,55.64,67.07,84.58,44.87,63.07,69.67,55.04,,24.01,79.98,22.93,28.24,76.72,63.93,64.23,24.11,33.09,24.50,96.70
LYNETTE SWEET,88.29,54.66,54.25,81.12,87.08,94.13,71.83,84.89,88.93,80.18,75.99,,92.62,48.12,54.28,91.10,86.34,84.66,51.41,59.51,50.61,98.97
M.J. MARIE FRANKLIN,36.93,8.68,8.53,23.74,33.60,57.89,17.00,29.85,36.14,23.19,20.02,7.38,,7.21,8.07,45.25,30.85,30.61,8.01,9.33,7.98,87.99
MALIA COHEN,89.02,56.73,54.11,82.60,87.00,94.84,77.95,85.95,89.41,80.90,77.07,51.88,92.79,,55.99,91.59,86.28,85.24,53.28,61.20,52.70,98.98
MARLENE TRAN,85.60,49.62,49.10,75.70,83.50,93.26,66.53,81.45,85.00,76.55,71.76,45.72,91.93,44.01,,89.39,81.34,81.96,47.17,60.13,47.39,98.67
NYESE JOSHUA,41.82,10.62,10.32,27.46,38.09,62.48,20.00,34.18,40.51,26.52,23.28,8.90,54.75,8.41,10.61,,34.97,34.60,9.54,12.71,8.79,90.18
"RODNEY HAMPTON, JR.",57.72,17.08,17.43,41.43,52.16,76.07,30.78,48.40,55.56,40.60,36.07,13.66,69.15,13.72,18.66,65.03,,49.51,16.13,21.84,16.55,94.28
STEPHEN WEBER,57.69,17.60,18.08,42.30,53.60,75.88,31.61,49.45,56.65,40.92,35.77,15.34,69.39,14.76,18.04,65.40,50.49,,15.14,22.00,15.84,94.25
STEVE MOSS,87.01,52.52,52.07,78.39,85.65,94.28,70.89,83.00,86.34,78.36,75.89,48.59,91.99,46.72,52.83,90.46,83.87,84.86,,58.18,49.46,98.80
TERESA DUQUE,82.45,43.71,43.66,71.58,79.87,91.89,61.59,77.38,82.01,71.60,66.91,40.49,90.67,38.80,39.87,87.29,78.16,78.00,41.82,,41.58,98.43
TONY KELLY,87.11,56.91,58.37,78.30,87.27,94.21,71.00,83.13,86.56,78.13,75.50,49.39,92.02,47.30,52.61,91.21,83.45,84.16,50.54,58.42,,98.95
writeIns,7.58,1.25,1.23,4.09,6.57,15.62,2.76,5.51,7.25,4.16,3.30,1.03,12.01,1.02,1.33,9.82,5.72,5.75,1.20,1.57,1.05,
