condorcet winner: Lisa Goodman,Janne Flisrand,Joe Kovacs,Lisa Goodman,Teqen Zéa-Aida,writeIns
Janne Flisrand,,5677.00,3381.00,4806.00,5948.00
Joe Kovacs,1085.00,,863.00,1241.00,1464.00
Lisa Goodman,5301.00,6941.00,,6026.00,7234.00
Teqen Zéa-Aida,1730.00,4390.00,2212.00,,4594.00
writeIns,79.00,123.00,103.00,88.00,
