condorcet winner: Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Dana Hansen,Phillipe M. Cunningham,Stephanie Gasca,writeIns
"Barbara A. ""Barb"" Johnson",,3398.00,2430.00,2861.00,3491.00
Dana Hansen,772.00,,540.00,569.00,1139.00
Phillipe M. Cunningham,2605.00,3507.00,,2898.00,3645.00
Stephanie Gasca,1844.00,2887.00,1235.00,,3090.00
writeIns,81.00,97.00,40.00,56.00,
