condorcet winner: Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,writeIns
Harvey Curley,,66.75,55.11,42.25,98.44
Larry Edwards,33.25,,38.57,21.67,97.60
Mary Hall-Rayford,44.89,61.43,,32.93,98.23
Sarah A. Lucido,57.75,78.33,67.07,,98.72
writeIns,1.56,2.40,1.77,1.28,
