condorcet winner: LAURIE CAPITELLI,LAURIE CAPITELLI,SOPHIE HAHN,writeIns
LAURIE CAPITELLI,,54.45,98.87
SOPHIE HAHN,45.55,,98.57
writeIns,1.13,1.43,
