condorcet winner: Lisa Goodman,Jeffrey Alan Wagner,Lisa Goodman,Michael J. Katch,writeIns
Jeffrey Alan Wagner,,21.38,28.83,96.26
Lisa Goodman,78.62,,71.09,97.40
Michael J. Katch,71.17,28.91,,97.40
writeIns,3.74,2.60,2.60,
