condorcet winner: LAURIE CAPITELLI,LAURIE CAPITELLI,SOPHIE HAHN,writeIns
LAURIE CAPITELLI,,4336.00,5662.00
SOPHIE HAHN,3628.00,,5230.00
writeIns,65.00,76.00,
