condorcet winner: Meg Tuthill,Dan Alvin,Kim Vlaisavljevich,Matthew Dowgwillo,Meg Tuthill,writeIns
Dan Alvin,,672.00,674.00,469.00,895.00
Kim Vlaisavljevich,889.00,,811.00,485.00,1070.00
Matthew Dowgwillo,1096.00,1122.00,,420.00,1304.00
Meg Tuthill,2642.00,2697.00,2623.00,,2841.00
writeIns,28.00,27.00,24.00,18.00,
