condorcet winner: LONDON BREED,AMY FARAH WEISS,ANGELA ALIOTO,ELLEN LEE ZHOU,JANE KIM,LONDON BREED,MARK LENO,MICHELLE BRAVO,RICHIE GREENBERG,writeIns
AMY FARAH WEISS,,29.33,55.87,7.22,15.35,6.60,80.11,62.37,99.95
ANGELA ALIOTO,70.67,,75.65,29.32,22.60,24.75,91.87,82.19,99.98
ELLEN LEE ZHOU,44.13,24.35,,12.90,10.88,11.95,76.85,58.48,99.94
JANE KIM,92.78,70.68,87.10,,45.16,46.81,95.33,88.37,99.99
LONDON BREED,84.65,77.40,89.12,54.84,,50.55,96.58,91.49,99.99
MARK LENO,93.40,75.25,88.05,53.19,49.45,,96.18,90.64,99.99
MICHELLE BRAVO,19.89,8.13,23.15,4.67,3.42,3.82,,28.57,99.82
RICHIE GREENBERG,37.63,17.81,41.52,11.63,8.51,9.36,71.43,,99.92
writeIns,0.05,0.02,0.06,0.01,0.01,0.01,0.18,0.08,
