condorcet winner: Lisa Bender,Bruce Lundeen,David Schorn,Lisa Bender,Saralyn Romanishan,writeIns
Bruce Lundeen,,595.00,710.00,614.00,888.00
David Schorn,4325.00,,1473.00,1899.00,4525.00
Lisa Bender,6179.00,5655.00,,5180.00,6297.00
Saralyn Romanishan,4710.00,3529.00,2015.00,,4869.00
writeIns,175.00,125.00,99.00,112.00,
