condorcet winner: Andrew Johnson,Andrew Johnson,Harrison Bullard,Will Jaeger,writeIns
Andrew Johnson,,93.47,89.03,99.31
Harrison Bullard,6.53,,39.65,95.38
Will Jaeger,10.97,60.35,,96.11
writeIns,0.69,4.62,3.89,
