condorcet winner: Gavin Newsom,Ahimsa Porter Sumchai,Gavin Newsom,George Davis,Grasshopper Alec Kaplan,H. Brown,Harold M. Hoogasian,John Rinaldi,Josh Wolf,Lonnie S. Holmes,Michael Powers,Quintin Mecke,Wilma Pang,writeIns
Ahimsa Porter Sumchai,,10995.00,18354.00,18142.00,18224.00,17312.00,17459.00,17756.00,17747.00,18369.00,12240.00,15536.00,18509.00
Gavin Newsom,115472.00,,116908.00,116593.00,116796.00,114643.00,116089.00,116407.00,116390.00,116906.00,114664.00,113846.00,117189.00
George Davis,4511.00,1959.00,,4418.00,4500.00,4133.00,4499.00,4341.00,4540.00,4566.00,4447.00,3787.00,4747.00
Grasshopper Alec Kaplan,7597.00,3875.00,7881.00,,8012.00,6994.00,7134.00,7588.00,7926.00,7801.00,7343.00,7517.00,8152.00
H. Brown,5606.00,2582.00,5665.00,5786.00,,5176.00,5812.00,5468.00,5629.00,5874.00,5574.00,4411.00,5964.00
Harold M. Hoogasian,20757.00,10996.00,21269.00,20775.00,21110.00,,20897.00,21060.00,20749.00,21153.00,20547.00,19602.00,21436.00
John Rinaldi,8955.00,7884.00,11715.00,11023.00,11791.00,11178.00,,11328.00,11753.00,11648.00,7658.00,11481.00,11912.00
Josh Wolf,9064.00,5537.00,10114.00,9905.00,9981.00,9344.00,9533.00,,9843.00,10172.00,8451.00,8954.00,10370.00
Lonnie S. Holmes,9030.00,4449.00,10012.00,9962.00,9821.00,8855.00,9957.00,9727.00,,9979.00,9010.00,8046.00,10123.00
Michael Powers,4228.00,1878.00,4232.00,3845.00,4313.00,3731.00,3938.00,4223.00,4271.00,,4145.00,3992.00,4440.00
Quintin Mecke,18004.00,12990.00,19636.00,19502.00,19548.00,18667.00,18602.00,18920.00,18895.00,19653.00,,18579.00,19751.00
Wilma Pang,24831.00,10444.00,26129.00,25961.00,25888.00,23978.00,25997.00,25796.00,25398.00,26156.00,25185.00,,26390.00
writeIns,34.00,33.00,34.00,33.00,33.00,32.00,34.00,32.00,34.00,33.00,32.00,33.00,
