condorcet winner: BEN BARTLETT,AL G. MURRAY,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
AL G. MURRAY,,8.05,25.33,15.42
BEN BARTLETT,91.95,,70.64,71.63
DEBORAH MATTHEWS,74.67,29.36,,45.76
MARK A. COPLAN,84.58,28.37,54.24,
