condorcet winner: PATRICIA KERNIGHAN,JENNIFER S. PAE,PATRICIA KERNIGHAN,writeIns
JENNIFER S. PAE,,33.99,97.33
PATRICIA KERNIGHAN,66.01,,97.96
writeIns,2.67,2.04,
