condorcet winner: LINDA MAIO,ANTHONY Di DONATO,JASPER KINGETER,LINDA MAIO,MERRILIE MITCHELL,writeIns
ANTHONY Di DONATO,,555.00,560.00,780.00,1146.00
JASPER KINGETER,3153.00,,1611.00,2599.00,3401.00
LINDA MAIO,4671.00,3959.00,,4294.00,4783.00
MERRILIE MITCHELL,2385.00,1236.00,1069.00,,2576.00
writeIns,49.00,34.00,34.00,46.00,
