condorcet winner: SEAN R. ELSBERND,BILLY BOB WHITMER,JULIAN P. LAGOS,SEAN R. ELSBERND,writeIns
BILLY BOB WHITMER,,29.97,20.23,98.12
JULIAN P. LAGOS,70.03,,25.16,98.28
SEAN R. ELSBERND,79.77,74.84,,98.86
writeIns,1.88,1.72,1.14,
