"condorcet winner: DEM Golden, Jared F.","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
"Bond, Tiffany L.",,49099.00,92200.00,86958.00
"DEM Golden, Jared F.",145067.00,,148900.00,142440.00
"Hoar, William R.S.",48991.00,42812.00,,74576.00
"REP Poliquin, Bruce",144516.00,138931.00,146412.00,
