condorcet winner: NIKKI FORTUNATO BAS,ABEL GUILLÉN,KENZIE DONTE SMITH,NIKKI FORTUNATO BAS
ABEL GUILLÉN,,12907.00,8628.00
KENZIE DONTE SMITH,4804.00,,2476.00
NIKKI FORTUNATO BAS,11979.00,15245.00,
