condorcet winner: LONDON N. BREED,ELLEN LEE ZHOU,JOEL VENTRESCA,LONDON N. BREED,MARC ROTH,PAUL YBARRA ROBERTSON,"ROBERT L. JORDAN, JR.",WILMA PANG,writeIns
ELLEN LEE ZHOU,,54021.00,35706.00,76311.00,55395.00,62830.00,57906.00,76313.00
JOEL VENTRESCA,38704.00,,26785.00,67991.00,43719.00,54550.00,47767.00,67994.00
LONDON N. BREED,134345.00,137912.00,,153721.00,139980.00,143756.00,140602.00,153724.00
MARC ROTH,13.00,11.00,13.00,,15.00,16.00,13.00,18.00
PAUL YBARRA ROBERTSON,30823.00,35282.00,22690.00,61694.00,,46059.00,38028.00,61696.00
"ROBERT L. JORDAN, JR.",19104.00,19297.00,15065.00,52969.00,20996.00,,19965.00,52971.00
WILMA PANG,26023.00,31747.00,21740.00,61424.00,35657.00,47162.00,,61428.00
writeIns,6.00,3.00,1.00,11.00,5.00,5.00,4.00,
