"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
"Adkins, Lawrence J.",,71.30,16.39,16.02,16.16,32.97,55.48,61.42,57.30,27.18,59.43,21.87,19.34,17.86,25.46,14.21,15.52,21.61,95.81
"Condit, James E., III",28.70,,9.00,9.09,8.59,20.76,38.73,44.33,39.97,16.84,42.94,11.69,10.74,10.78,15.16,8.58,8.12,11.52,93.17
"Davis, Henrietta",83.61,91.00,,50.08,50.27,75.49,87.25,89.58,87.95,68.42,89.08,61.77,57.50,58.02,66.71,52.40,50.43,59.07,98.93
"Decker, Marjorie C.",83.98,90.91,49.92,,51.85,76.45,87.34,89.93,88.21,68.66,89.53,62.20,59.36,60.75,66.98,54.33,51.24,60.16,99.09
"Galluccio, Anthony D.",83.84,91.41,49.73,48.15,,72.67,87.53,90.91,88.68,67.82,89.12,64.61,58.18,58.69,64.93,52.03,53.27,63.36,99.03
"Gordon, Jesse A.",67.03,79.24,24.51,23.55,27.33,,74.38,78.36,75.60,44.37,76.34,35.63,30.42,34.28,41.42,27.11,28.55,36.67,97.93
"Green, Andre Lerone",44.52,61.27,12.75,12.66,12.47,25.62,,61.22,57.14,25.25,56.98,18.53,16.73,16.51,23.44,13.56,13.41,18.61,95.43
"Hall, Robert Lee, Sr.",38.58,55.67,10.42,10.07,9.09,21.64,38.78,,50.24,21.52,51.15,14.90,13.82,12.55,20.36,10.25,9.95,14.90,94.45
"Hees, Bill",42.70,60.03,12.05,11.79,11.32,24.40,42.86,49.76,,24.01,55.17,16.79,15.41,15.78,22.30,13.06,12.14,17.35,94.86
"Kelley, Craig A.",72.82,83.16,31.58,31.34,32.18,55.63,74.75,78.48,75.99,,80.84,41.64,37.66,39.78,47.07,33.90,33.91,42.08,98.22
"LaTremouille, Robert J.",40.57,57.06,10.92,10.47,10.88,23.66,43.02,48.85,44.83,19.16,,16.73,14.43,14.80,21.10,11.82,11.46,16.46,94.88
"Maher, David P.",78.13,88.31,38.23,37.80,35.39,64.37,81.47,85.10,83.21,58.36,83.27,,48.01,48.86,56.78,41.92,38.99,51.81,98.51
"Murphy, Brian",80.66,89.26,42.50,40.64,41.82,69.58,83.27,86.18,84.59,62.34,85.57,51.99,,53.09,62.63,46.29,44.09,53.69,98.75
"Reeves, Kenneth E.",82.14,89.22,41.98,39.25,41.31,65.72,83.49,87.45,84.22,60.22,85.20,51.14,46.91,,58.96,43.51,43.71,54.09,98.73
"Seidel, Sam",74.54,84.84,33.29,33.02,35.07,58.58,76.56,79.64,77.70,52.93,78.90,43.22,37.37,41.04,,35.96,36.47,44.31,98.34
"Simmons, Denise",85.79,91.42,47.60,45.67,47.97,72.89,86.44,89.75,86.94,66.10,88.18,58.08,53.71,56.49,64.04,,51.03,60.38,99.08
"Sullivan, Michael A.",84.48,91.88,49.57,48.76,46.73,71.45,86.59,90.05,87.86,66.09,88.54,61.01,55.91,56.29,63.53,48.97,,65.08,98.93
"Toomey, Timothy J., Jr.",78.39,88.48,40.93,39.84,36.64,63.33,81.39,85.10,82.65,57.92,83.54,48.19,46.31,45.91,55.69,39.62,34.92,,98.48
writeIns,4.19,6.83,1.07,0.91,0.97,2.07,4.57,5.55,5.14,1.78,5.12,1.49,1.25,1.27,1.66,0.92,1.07,1.52,
