"condorcet winner: McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
"Fantini, Alfred B.",,54.89,52.32,59.44,81.34,45.26,47.38,49.06,53.52,98.66
"Grassi, Joseph G.",45.11,,51.24,58.54,81.07,44.34,46.05,48.65,52.28,98.53
"Harding, Richard, Jr.",47.68,48.76,,60.49,82.22,41.86,44.73,49.03,54.33,98.72
"Lemily Wiggins, Gail",40.56,41.46,39.51,,81.52,33.23,35.10,38.62,42.75,98.39
"Malner, Stefan",18.66,18.93,17.78,18.48,,15.17,16.28,18.54,16.78,96.72
"McGovern, Marc C.",54.74,55.66,58.14,66.77,84.83,,54.59,57.84,62.84,99.06
"Nolan, Patricia M.",52.62,53.95,55.27,64.90,83.72,45.41,,55.88,61.05,98.89
"Schuster, Luc",50.94,51.35,50.97,61.38,81.46,42.16,44.12,,57.31,98.70
"Tauber, Nancy",46.48,47.72,45.67,57.25,83.22,37.16,38.95,42.69,,98.57
writeIns,1.34,1.47,1.28,1.61,3.28,0.94,1.11,1.30,1.43,
