condorcet winner: BARBARA PARKER,BARBARA PARKER,JANE BRUNNER,writeIns
BARBARA PARKER,,90222.00,112656.00
JANE BRUNNER,40577.00,,78421.00
writeIns,1713.00,2830.00,
