condorcet winner: RASHI KESARWANI,IGOR A. TREGUB,MARGO SCHUELER,MARY BEHM-STEINBERG,RASHI KESARWANI
IGOR A. TREGUB,,4529.00,5596.00,3439.00
MARGO SCHUELER,2586.00,,4665.00,2527.00
MARY BEHM-STEINBERG,1029.00,1338.00,,1363.00
RASHI KESARWANI,4120.00,4693.00,5597.00,
