condorcet winner: Dale Washam,Barbara Gelman,Bernardo Tuma,Beverly Davidson,Dale Washam,Jan Shabro,Terry Lee,writeIns
Barbara Gelman,,101963.00,95869.00,91067.00,84866.00,87684.00,108845.00
Bernardo Tuma,46233.00,,45959.00,40180.00,41551.00,39186.00,52879.00
Beverly Davidson,54148.00,72993.00,,65748.00,62050.00,65513.00,80720.00
Dale Washam,98366.00,104622.00,102977.00,,94543.00,93635.00,112087.00
Jan Shabro,97349.00,112675.00,106450.00,92322.00,,92487.00,121178.00
Terry Lee,95933.00,104189.00,101710.00,85547.00,93745.00,,113929.00
writeIns,1781.00,1891.00,1830.00,1658.00,1771.00,1780.00,
