condorcet winner: Sophie Maxwell,Charlie Walker,Dwayne Jusino,Espanola Jackson,Marie L. Harrison,Rodney Hampton Jr.,Sala Chandler,Sophie Maxwell
Charlie Walker,,1624.00,1386.00,1541.00,1473.00,1718.00,1010.00
Dwayne Jusino,3492.00,,3167.00,3286.00,3170.00,3459.00,2391.00
Espanola Jackson,4172.00,3738.00,,3691.00,3779.00,4235.00,2646.00
Marie L. Harrison,4191.00,3831.00,3703.00,,3639.00,4184.00,2261.00
Rodney Hampton Jr.,3792.00,3380.00,3306.00,3323.00,,3878.00,2285.00
Sala Chandler,1435.00,1173.00,1208.00,1184.00,1268.00,,835.00
Sophie Maxwell,10051.00,9550.00,9503.00,9659.00,9661.00,10129.00,
