condorcet winner: AK Hassan,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,writeIns
AK Hassan,,57.03,77.19,98.72
Abdi Gurhan Mohamed,42.97,,72.98,98.52
Charles Exner,22.81,27.02,,97.39
writeIns,1.28,1.48,2.61,
