condorcet winner: Joseph R. Biden,Amy Klobuchar,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Michael R. Bloomberg,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Undeclared
Amy Klobuchar,,2372.00,2265.00,1386.00,5046.00,3820.00,5028.00,5147.00,5449.00
Bernie Sanders,14121.00,,12759.00,8755.00,14714.00,14094.00,14721.00,14832.00,14995.00
Elizabeth Warren,7878.00,3795.00,,4095.00,8650.00,7921.00,8711.00,8710.00,9035.00
Joseph R. Biden,15557.00,10834.00,13714.00,,16154.00,15435.00,16096.00,15971.00,16316.00
Michael R. Bloomberg,1732.00,1100.00,1292.00,413.00,,1742.00,2090.00,2240.00,2353.00
Pete Buttigieg,3714.00,2278.00,2215.00,1507.00,4921.00,,5118.00,5118.00,5436.00
Tom Steyer,1610.00,981.00,1173.00,666.00,1890.00,1717.00,,1990.00,2181.00
Tulsi Gabbard,1652.00,484.00,1323.00,1116.00,2009.00,1814.00,1914.00,,2076.00
Undeclared,788.00,251.00,497.00,430.00,869.00,743.00,877.00,798.00,
