condorcet winner: RIGEL ROBINSON,AIDAN HILL,CECILIA ''CES'' ROSALES,RIGEL ROBINSON
AIDAN HILL,,22.14,15.57
CECILIA ''CES'' ROSALES,77.86,,37.90
RIGEL ROBINSON,84.43,62.10,
