condorcet winner: Julie Anderson,Jan Shabro,Julie Anderson,Will Baker,writeIns
Jan Shabro,,44.38,78.29,98.75
Julie Anderson,55.62,,84.59,99.06
Will Baker,21.71,15.41,,96.15
writeIns,1.25,0.94,3.85,
