condorcet winner: LINDA MAIO,ALEJANDRO SOTO-VIGIL,LINDA MAIO,MERRILIE MITCHELL
ALEJANDRO SOTO-VIGIL,,2357.00,3749.00
LINDA MAIO,3128.00,,4190.00
MERRILIE MITCHELL,624.00,691.00,
