condorcet winner: GORDON MAR,ADAM KIM,ARTHUR TOM,GORDON MAR,JESSICA HO,LOU ANN BASSAN,MIKE MURPHY,TREVOR MCNEIL,TUAN NGUYEN
ADAM KIM,,2995.00,1940.00,2300.00,3135.00,2506.00,3024.00,3119.00
ARTHUR TOM,7563.00,,5412.00,5144.00,7059.00,7466.00,6779.00,7516.00
GORDON MAR,16238.00,15242.00,,13255.00,15881.00,15960.00,14550.00,16096.00
JESSICA HO,13548.00,12635.00,10065.00,,13047.00,13507.00,12142.00,13447.00
LOU ANN BASSAN,6062.00,5201.00,4912.00,4760.00,,5508.00,4987.00,5982.00
MIKE MURPHY,5497.00,5174.00,3361.00,4825.00,4998.00,,4044.00,5467.00
TREVOR MCNEIL,10058.00,9224.00,6904.00,7550.00,9374.00,9531.00,,9878.00
TUAN NGUYEN,3350.00,3143.00,2514.00,2404.00,3327.00,3431.00,3100.00,
