condorcet winner: Julie Anderson,Jan Shabro,Julie Anderson,Will Baker,writeIns
Jan Shabro,,66256.00,101355.00,121657.00
Julie Anderson,83048.00,,111354.00,126553.00
Will Baker,28098.00,20279.00,,85922.00
writeIns,1546.00,1196.00,3445.00,
