condorcet winner: PAULINE RUSSO CUTTER,CORINA N. LOPEZ,PAULINE RUSSO CUTTER,writeIns
CORINA N. LOPEZ,,9326.00,15504.00
PAULINE RUSSO CUTTER,10810.00,,15763.00
writeIns,400.00,390.00,
