condorcet winner: CHESA BOUDIN,CHESA BOUDIN,LEIF DAUTCH,NANCY TUNG,SUZY LOFTUS,writeIns
CHESA BOUDIN,,89228.00,89072.00,86712.00,124124.00
LEIF DAUTCH,61064.00,,60701.00,58394.00,101230.00
NANCY TUNG,67225.00,63421.00,,61705.00,103460.00
SUZY LOFTUS,83872.00,87963.00,87337.00,,125242.00
writeIns,5.00,6.00,5.00,5.00,
