condorcet winner: Lisa Goodman,Jeffrey Alan Wagner,Lisa Goodman,Michael J. Katch,writeIns
Jeffrey Alan Wagner,,845.00,579.00,1363.00
Lisa Goodman,3108.00,,3042.00,3377.00
Michael J. Katch,1429.00,1237.00,,1796.00
writeIns,53.00,90.00,48.00,
