"condorcet winner: Mills, Janet T.","Cote, Adam Roland","Dion, Donna J.","Dion, Mark N.","Eves, Mark W.","Mills, Janet T.","Russell, Diane Marie","Sweet, Elizabeth A.",writeIns
"Cote, Adam Roland",,81102.00,75530.00,61070.00,53866.00,78977.00,61148.00,92349.00
"Dion, Donna J.",15324.00,,23102.00,16758.00,12971.00,26975.00,13527.00,50497.00
"Dion, Mark N.",24796.00,46263.00,,27599.00,22697.00,45123.00,27963.00,63534.00
"Eves, Mark W.",47332.00,75044.00,68314.00,,44838.00,74013.00,52584.00,86669.00
"Mills, Janet T.",63387.00,89902.00,83853.00,68473.00,,87797.00,69693.00,99285.00
"Russell, Diane Marie",19879.00,34157.00,27719.00,18579.00,16793.00,,17362.00,54575.00
"Sweet, Elizabeth A.",49590.00,77692.00,69710.00,51689.00,44052.00,74026.00,,87826.00
writeIns,1205.00,1540.00,1393.00,1210.00,1342.00,1461.00,1189.00,
