condorcet winner: JANE KIM,DEAN CLARK,DEBRA WALKER,ELAINE ZAMORA,FORTUNATE ''NATE'' PAYNE,GEORGE DAVIS,GEORGE VAZHAPPALLY,GLENDON ''ANNA CONDA'' HYDE,H. BROWN,JAMES KEYS,JANE KIM,JIM MEKO,MATT ASHE,MATT DRAKE,THERESA SPARKS,writeIns
DEAN CLARK,,1593.00,1961.00,2021.00,2023.00,1990.00,1987.00,1964.00,1938.00,1448.00,2006.00,2036.00,1852.00,1746.00,2064.00
DEBRA WALKER,10014.00,,9982.00,10160.00,10159.00,10182.00,9546.00,10159.00,9719.00,7528.00,10001.00,10158.00,10030.00,8963.00,10216.00
ELAINE ZAMORA,2478.00,1995.00,,2551.00,2548.00,2523.00,2502.00,2520.00,2446.00,1534.00,2514.00,2550.00,2388.00,1980.00,2576.00
FORTUNATE ''NATE'' PAYNE,679.00,612.00,713.00,,725.00,623.00,673.00,722.00,694.00,603.00,704.00,726.00,623.00,622.00,739.00
GEORGE DAVIS,677.00,547.00,653.00,708.00,,705.00,667.00,697.00,675.00,557.00,689.00,688.00,670.00,598.00,723.00
GEORGE VAZHAPPALLY,717.00,704.00,736.00,728.00,760.00,,766.00,764.00,754.00,618.00,729.00,765.00,668.00,692.00,787.00
GLENDON ''ANNA CONDA'' HYDE,3579.00,1932.00,3535.00,3591.00,3603.00,3623.00,,3603.00,3424.00,1785.00,3570.00,3601.00,3576.00,3102.00,3641.00
H. BROWN,827.00,791.00,899.00,965.00,937.00,961.00,919.00,,902.00,626.00,950.00,962.00,933.00,819.00,977.00
JAMES KEYS,2719.00,2036.00,2753.00,2870.00,2850.00,2871.00,2744.00,2848.00,,2042.00,2793.00,2866.00,2824.00,2443.00,2889.00
JANE KIM,11730.00,8865.00,11665.00,11935.00,11945.00,11933.00,11558.00,11909.00,11464.00,,11758.00,11911.00,11597.00,10468.00,11975.00
JIM MEKO,1839.00,1399.00,1817.00,1835.00,1874.00,1810.00,1824.00,1870.00,1782.00,1386.00,,1869.00,1652.00,1484.00,1901.00
MATT ASHE,626.00,498.00,624.00,645.00,637.00,643.00,598.00,634.00,625.00,503.00,607.00,,590.00,514.00,651.00
MATT DRAKE,2315.00,2196.00,2264.00,2379.00,2396.00,2344.00,2366.00,2386.00,2358.00,1792.00,2296.00,2359.00,,1848.00,2415.00
THERESA SPARKS,7395.00,5773.00,7276.00,7515.00,7504.00,7518.00,7309.00,7485.00,7225.00,5417.00,7404.00,7502.00,7298.00,,7555.00
writeIns,79.00,62.00,80.00,81.00,82.00,82.00,77.00,80.00,81.00,59.00,81.00,81.00,80.00,73.00,
