condorcet winner: NORMAN YEE,ANDREW BLEY,F. X. FRANCIS XAVIER CROWLEY,GLENN ROGERS,JOEL ENGARDIO,JULIAN P. LAGOS,LYNN GAVIN,MICHAEL GARCIA,NORMAN YEE,ROBERT J. SQUERI
ANDREW BLEY,,2796.00,3149.00,2941.00,3170.00,3178.00,2926.00,2533.00,3236.00
F. X. FRANCIS XAVIER CROWLEY,16309.00,,16456.00,14495.00,16276.00,16449.00,13514.00,12373.00,15349.00
GLENN ROGERS,2503.00,2270.00,,2430.00,2493.00,2430.00,2339.00,2170.00,2534.00
JOEL ENGARDIO,10620.00,7488.00,10672.00,,10412.00,10656.00,8445.00,8019.00,10169.00
JULIAN P. LAGOS,4357.00,3606.00,4329.00,4142.00,,4204.00,3884.00,2733.00,4282.00
LYNN GAVIN,3026.00,2657.00,3049.00,2992.00,2845.00,,2863.00,2148.00,3120.00
MICHAEL GARCIA,12343.00,9226.00,12494.00,10712.00,12228.00,12362.00,,10045.00,11816.00
NORMAN YEE,16343.00,12505.00,16456.00,14869.00,16023.00,16404.00,14698.00,,16123.00
ROBERT J. SQUERI,6003.00,4357.00,6016.00,5307.00,5898.00,6068.00,4438.00,4686.00,
