"condorcet winner: Siddiqui, Sumbul","Akiba, Sukia","Azeem, Burhan","Carlone, Dennis J.","Franklin, Charles J.","Kelley, Craig A.","Kopon, Derek Andrew","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","McNary, Jeffery","Mednick, Risa","Moree, Gregg J.","Musgrave, Adriane","Nolan, Patricia M.","Pitkin, John","Siddiqui, Sumbul","Simmons, E. Denise","Simon, Ben","Sobrinho-Wheeler, Jivan","Toomey, Jr., Timothy J.","Williams, Nicola A.","Zondervan, Quinton Y.",writeIns
"Akiba, Sukia",,35.15,24.65,43.19,24.87,41.23,71.26,20.67,21.86,74.73,38.75,79.99,30.82,22.29,40.06,14.29,17.88,40.02,28.32,28.52,25.57,18.98,96.68
"Azeem, Burhan",64.85,,37.56,59.12,38.63,55.95,81.04,33.34,34.09,83.99,58.88,87.40,46.62,35.80,54.43,22.95,31.38,54.84,42.15,45.95,40.12,31.39,98.17
"Carlone, Dennis J.",75.35,62.44,,74.20,52.86,75.75,89.48,47.81,46.91,89.62,67.94,91.67,59.27,47.73,74.14,40.35,43.68,74.97,56.47,54.40,58.73,44.16,98.97
"Franklin, Charles J.",56.81,40.88,25.80,,31.04,48.73,77.78,28.26,28.60,80.40,47.86,83.47,38.67,27.38,47.79,21.55,26.22,48.77,32.85,35.90,29.87,20.10,97.64
"Kelley, Craig A.",75.13,61.37,47.14,68.96,,74.47,89.13,46.83,46.20,89.79,65.42,92.38,58.66,46.12,72.61,39.55,43.25,72.67,55.41,53.98,55.85,44.11,98.84
"Kopon, Derek Andrew",58.77,44.05,24.25,51.27,25.53,,79.87,31.45,32.03,81.34,49.25,85.06,41.56,23.68,51.70,26.15,29.87,54.57,38.47,38.76,33.75,21.84,97.80
"Levy, Ilan",28.74,18.96,10.52,22.22,10.87,20.13,,11.36,11.89,56.37,22.56,63.90,17.69,9.88,21.57,8.82,10.26,22.25,15.87,14.95,12.75,8.35,93.47
"Mallon, Alanna M.",79.33,66.66,52.19,71.74,53.17,68.55,88.64,,52.86,91.44,77.44,93.64,67.77,51.29,68.20,38.62,48.70,69.20,60.74,63.67,57.42,47.23,98.95
"McGovern, Marc C.",78.14,65.91,53.09,71.40,53.80,67.97,88.11,47.14,,90.66,74.53,93.71,64.82,51.56,68.23,39.91,48.83,68.97,59.73,64.05,56.89,47.52,99.03
"McNary, Jeffery",25.27,16.01,10.38,19.60,10.21,18.66,43.63,8.56,9.34,,20.09,61.37,14.70,9.78,20.56,7.13,8.08,20.78,13.65,13.39,11.43,8.26,92.87
"Mednick, Risa",61.25,41.12,32.06,52.14,34.58,50.75,77.44,22.56,25.47,79.91,,87.22,38.07,31.42,51.23,18.26,25.42,51.77,35.07,39.79,35.93,27.03,97.85
"Moree, Gregg J.",20.01,12.60,8.33,16.53,7.62,14.94,36.10,6.36,6.29,38.63,12.78,,11.05,7.25,16.25,5.61,5.79,16.84,11.04,9.24,9.75,7.06,90.29
"Musgrave, Adriane",69.18,53.38,40.73,61.33,41.34,58.44,82.31,32.23,35.18,85.30,61.93,88.95,,39.90,58.85,26.24,35.23,59.63,48.09,50.81,45.39,35.16,98.46
"Nolan, Patricia M.",77.71,64.20,52.27,72.62,53.88,76.32,90.12,48.71,48.44,90.22,68.58,92.75,60.10,,78.64,42.71,47.10,78.81,58.49,57.19,62.17,48.04,99.05
"Pitkin, John",59.94,45.57,25.86,52.21,27.39,48.30,78.43,31.80,31.77,79.44,48.77,83.75,41.15,21.36,,27.15,30.24,55.48,39.83,39.28,34.33,23.17,97.71
"Siddiqui, Sumbul",85.71,77.05,59.65,78.45,60.45,73.85,91.18,61.38,60.09,92.87,81.74,94.39,73.76,57.29,72.85,,60.00,75.01,70.58,71.05,64.95,55.52,99.23
"Simmons, E. Denise",82.12,68.62,56.32,73.78,56.75,70.13,89.74,51.30,51.17,91.92,74.58,94.21,64.77,52.90,69.76,40.00,,71.85,62.66,69.01,60.17,51.17,99.02
"Simon, Ben",59.98,45.16,25.03,51.23,27.33,45.43,77.75,30.80,31.03,79.22,48.23,83.16,40.37,21.19,44.52,24.99,28.15,,36.45,38.68,29.24,20.20,97.90
"Sobrinho-Wheeler, Jivan",71.68,57.85,43.53,67.15,44.59,61.53,84.13,39.26,40.27,86.35,64.93,88.96,51.91,41.51,60.17,29.42,37.34,63.55,,52.60,48.84,37.49,98.54
"Toomey, Jr., Timothy J.",71.48,54.05,45.60,64.10,46.02,61.24,85.05,36.33,35.95,86.61,60.21,90.76,49.19,42.81,60.72,28.95,30.99,61.32,47.40,,48.34,40.73,98.69
"Williams, Nicola A.",74.43,59.88,41.27,70.13,44.15,66.25,87.25,42.58,43.11,88.57,64.07,90.25,54.61,37.83,65.67,35.05,39.83,70.76,51.16,51.66,,35.14,98.77
"Zondervan, Quinton Y.",81.02,68.61,55.84,79.90,55.89,78.16,91.65,52.77,52.48,91.74,72.97,92.94,64.84,51.96,76.83,44.48,48.83,79.80,62.51,59.27,64.86,,99.12
writeIns,3.32,1.83,1.03,2.36,1.16,2.20,6.53,1.05,0.97,7.13,2.15,9.71,1.54,0.95,2.29,0.77,0.98,2.10,1.46,1.31,1.23,0.88,
