condorcet winner: SEAN R. ELSBERND,BILLY BOB WHITMER,JULIAN P. LAGOS,SEAN R. ELSBERND,writeIns
BILLY BOB WHITMER,,5603.00,6066.00,16395.00
JULIAN P. LAGOS,13092.00,,7649.00,17523.00
SEAN R. ELSBERND,23918.00,22749.00,,28347.00
writeIns,314.00,306.00,328.00,
