condorcet winner: JAMES HARRIS,ALICE A. SPEARMAN,JAMES HARRIS,writeIns
ALICE A. SPEARMAN,,42.74,96.99
JAMES HARRIS,57.26,,97.69
writeIns,3.01,2.31,
