condorcet winner: LORI DROSTE,ALFRED TWU,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
ALFRED TWU,,1381.00,1527.00,2770.00
LORI DROSTE,4772.00,,4043.00,5102.00
MARY KAY LACEY,4001.00,2346.00,,4487.00
RUSS TILLEMAN,1486.00,811.00,715.00,
