condorcet winner: Joseph R. Biden,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Tulsi Gabbard,Uncommitted
Bernie Sanders,,54836.00,33142.00,82274.00,87361.00
Elizabeth Warren,51777.00,,27561.00,85237.00,88944.00
Joseph R. Biden,110041.00,112894.00,,129755.00,132444.00
Tulsi Gabbard,13390.00,9450.00,8927.00,,42328.00
Uncommitted,11990.00,11217.00,8998.00,21078.00,
