condorcet winner: Joseph R. Biden,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
Amy Klobuchar,,773.00,694.00,807.00,620.00,177.00,734.00,680.00,801.00,780.00,806.00
Andrew Yang,1194.00,,590.00,1216.00,889.00,802.00,1162.00,1148.00,1208.00,1108.00,1208.00
Bernie Sanders,7173.00,7099.00,,7207.00,6422.00,4716.00,7038.00,7120.00,7202.00,6982.00,7189.00
Deval Patrick,26.00,22.00,20.00,,20.00,20.00,27.00,26.00,28.00,25.00,26.00
Elizabeth Warren,3862.00,3809.00,2035.00,3969.00,,2080.00,3797.00,3849.00,3963.00,3880.00,3962.00
Joseph R. Biden,11330.00,11255.00,9315.00,11386.00,10445.00,,11180.00,11242.00,11371.00,11180.00,11357.00
Michael R.,1318.00,1313.00,1129.00,1347.00,1222.00,426.00,,1293.00,1337.00,1270.00,1339.00
Pete Buttigieg,991.00,1006.00,811.00,1058.00,885.00,363.00,947.00,,1056.00,1034.00,1058.00
Tom Steyer,185.00,173.00,122.00,193.00,149.00,91.00,163.00,183.00,,184.00,191.00
Tulsi Gabbard,1293.00,1235.00,670.00,1300.00,1212.00,890.00,1262.00,1286.00,1300.00,,1296.00
Uncommitted,898.00,858.00,378.00,900.00,733.00,452.00,861.00,888.00,896.00,807.00,
