condorcet winner: CARMEN CHU,CARMEN CHU,DAVE FERGUSON,RON DUDUM,writeIns
CARMEN CHU,,18983.00,16649.00,23923.00
DAVE FERGUSON,7258.00,,7497.00,18284.00
RON DUDUM,11881.00,16538.00,,22304.00
writeIns,181.00,129.00,105.00,
