condorcet winner: MICHAEL J. GREGORY,CAROL LIBBRECHT,"DAVID L. ANDERSON, SR.",MICHAEL J. GREGORY,writeIns
CAROL LIBBRECHT,,0.89,0.80,7.80
"DAVID L. ANDERSON, SR.",99.11,,34.27,97.77
MICHAEL J. GREGORY,99.20,65.73,,97.80
writeIns,92.20,2.23,2.20,
